Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,25,6916.41,mismatch
Unsynchronized,2,1000,25,6148.16,mismatch
Unsynchronized,2,1000,25,7401.26,mismatch
Unsynchronized,2,1000,25,7173.11,mismatch
Unsynchronized,2,1000,25,8558.14,mismatch
Unsynchronized,2,1000,25,7014.86,mismatch
Unsynchronized,2,1000,25,7426.17,mismatch
Unsynchronized,2,1000,25,7444.91
Unsynchronized,2,1000,25,6380.24
Unsynchronized,2,1000,25,6847.19,mismatch
Unsynchronized,2,100000,25,627.378,mismatch
Unsynchronized,2,100000,25,633.720,mismatch
Unsynchronized,2,100000,25,669.260,mismatch
Unsynchronized,2,100000,25,750.226,mismatch
Unsynchronized,2,100000,25,605.706,mismatch
Unsynchronized,2,100000,25,648.367,mismatch
Unsynchronized,2,100000,25,629.371,mismatch
Unsynchronized,2,100000,25,583.389,mismatch
Unsynchronized,2,100000,25,629.299,mismatch
Unsynchronized,2,100000,25,642.956,mismatch
Unsynchronized,2,10000000,25,95.4540,mismatch
Unsynchronized,2,10000000,25,101.732,mismatch
Unsynchronized,2,10000000,25,66.0166,mismatch
Unsynchronized,2,10000000,25,45.6035,mismatch
Unsynchronized,2,10000000,25,64.4121,mismatch
Unsynchronized,2,10000000,25,68.5567,mismatch
Unsynchronized,2,10000000,25,103.993,mismatch
Unsynchronized,2,10000000,25,48.9425,mismatch
Unsynchronized,2,10000000,25,119.999,mismatch
Unsynchronized,2,10000000,25,52.7178,mismatch
Unsynchronized,4,1000,25,13571.5,mismatch
Unsynchronized,4,1000,25,13610.7,mismatch
Unsynchronized,4,1000,25,13482.5,mismatch
Unsynchronized,4,1000,25,14070.8
Unsynchronized,4,1000,25,13638.5
Unsynchronized,4,1000,25,15476.0,mismatch
Unsynchronized,4,1000,25,13373.3,mismatch
Unsynchronized,4,1000,25,13811.6,mismatch
Unsynchronized,4,1000,25,13961.7,mismatch
Unsynchronized,4,1000,25,14464.7,mismatch
Unsynchronized,4,100000,25,868.013,mismatch
Unsynchronized,4,100000,25,900.466,mismatch
Unsynchronized,4,100000,25,822.862,mismatch
Unsynchronized,4,100000,25,889.035,mismatch
Unsynchronized,4,100000,25,938.845,mismatch
Unsynchronized,4,100000,25,861.183,mismatch
Unsynchronized,4,100000,25,744.784,mismatch
Unsynchronized,4,100000,25,866.646,mismatch
Unsynchronized,4,100000,25,888.188,mismatch
Unsynchronized,4,100000,25,716.933,mismatch
Unsynchronized,4,10000000,25,263.225,mismatch
Unsynchronized,4,10000000,25,271.660,mismatch
Unsynchronized,4,10000000,25,157.135,mismatch
Unsynchronized,4,10000000,25,150.488,mismatch
Unsynchronized,4,10000000,25,141.681,mismatch
Unsynchronized,4,10000000,25,142.990,mismatch
Unsynchronized,4,10000000,25,274.664,mismatch
Unsynchronized,4,10000000,25,258.714,mismatch
Unsynchronized,4,10000000,25,146.877,mismatch
Unsynchronized,4,10000000,25,213.656,mismatch
Unsynchronized,8,1000,25,27315.9,mismatch
Unsynchronized,8,1000,25,30119.4,mismatch
Unsynchronized,8,1000,25,22707.1,mismatch
Unsynchronized,8,1000,25,28301.7,mismatch
Unsynchronized,8,1000,25,30698.1,mismatch
Unsynchronized,8,1000,25,28880.3,mismatch
Unsynchronized,8,1000,25,30584.2,mismatch
Unsynchronized,8,1000,25,28283.5,mismatch
Unsynchronized,8,1000,25,26819.1,mismatch
Unsynchronized,8,1000,25,31738.2,mismatch
Unsynchronized,8,100000,25,1605.35,mismatch
Unsynchronized,8,100000,25,1761.44,mismatch
Unsynchronized,8,100000,25,1613.07,mismatch
Unsynchronized,8,100000,25,1724.35,mismatch
Unsynchronized,8,100000,25,1568.50,mismatch
Unsynchronized,8,100000,25,1720.66,mismatch
Unsynchronized,8,100000,25,1641.28,mismatch
Unsynchronized,8,100000,25,1538.08,mismatch
Unsynchronized,8,100000,25,1630.96,mismatch
Unsynchronized,8,100000,25,1786.91,mismatch
Unsynchronized,8,10000000,25,340.340,mismatch
Unsynchronized,8,10000000,25,340.072,mismatch
Unsynchronized,8,10000000,25,513.845,mismatch
Unsynchronized,8,10000000,25,334.904,mismatch
Unsynchronized,8,10000000,25,464.630,mismatch
Unsynchronized,8,10000000,25,338.939,mismatch
Unsynchronized,8,10000000,25,474.604,mismatch
Unsynchronized,8,10000000,25,339.204,mismatch
Unsynchronized,8,10000000,25,452.419,mismatch
Unsynchronized,8,10000000,25,336.221,mismatch
Unsynchronized,12,1000,25,52010.9,mismatch
Unsynchronized,12,1000,25,47190.3
Unsynchronized,12,1000,25,48086.1,mismatch
Unsynchronized,12,1000,25,47203.7,mismatch
Unsynchronized,12,1000,25,43924.0
Unsynchronized,12,1000,25,40464.8
Unsynchronized,12,1000,25,43288.1,mismatch
Unsynchronized,12,1000,25,43503.5,mismatch
Unsynchronized,12,1000,25,48167.0
Unsynchronized,12,1000,25,48473.1,mismatch
Unsynchronized,12,100000,25,2370.74,mismatch
Unsynchronized,12,100000,25,2317.18,mismatch
Unsynchronized,12,100000,25,2826.73,mismatch
Unsynchronized,12,100000,25,2376.97,mismatch
Unsynchronized,12,100000,25,2268.65,mismatch
Unsynchronized,12,100000,25,2392.19,mismatch
Unsynchronized,12,100000,25,2710.89,mismatch
Unsynchronized,12,100000,25,1989.77,mismatch
Unsynchronized,12,100000,25,2515.21,mismatch
Unsynchronized,12,100000,25,2455.47,mismatch
Unsynchronized,12,10000000,25,575.830,mismatch
Unsynchronized,12,10000000,25,913.188,mismatch
Unsynchronized,12,10000000,25,528.827,mismatch
Unsynchronized,12,10000000,25,948.013,mismatch
Unsynchronized,12,10000000,25,590.010,mismatch
Unsynchronized,12,10000000,25,615.172,mismatch
Unsynchronized,12,10000000,25,859.362,mismatch
Unsynchronized,12,10000000,25,591.091,mismatch
Unsynchronized,12,10000000,25,858.693,mismatch
Unsynchronized,12,10000000,25,735.795,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
Unsynchronized,16,1000,25,to[][][,]-_,mismatch
