Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,25,7357.33,mismatch
Unsynchronized,2,1000,25,7361.46,mismatch
Unsynchronized,2,1000,25,6488.99
Unsynchronized,2,1000,25,6222.30,mismatch
Unsynchronized,2,1000,25,8371.73,mismatch
Unsynchronized,2,1000,25,6564.71,mismatch
Unsynchronized,2,1000,25,6210.96
Unsynchronized,2,1000,25,7447.01,mismatch
Unsynchronized,2,1000,25,6671.65,mismatch
Unsynchronized,2,1000,25,6761.06,mismatch
Unsynchronized,2,100000,25,594.955,mismatch
Unsynchronized,2,100000,25,740.379,mismatch
Unsynchronized,2,100000,25,600.368,mismatch
Unsynchronized,2,100000,25,785.869,mismatch
Unsynchronized,2,100000,25,783.091,mismatch
Unsynchronized,2,100000,25,648.228,mismatch
Unsynchronized,2,100000,25,773.808,mismatch
Unsynchronized,2,100000,25,449.987,mismatch
Unsynchronized,2,100000,25,432.490,mismatch
Unsynchronized,2,100000,25,455.225
Unsynchronized,2,10000000,25,54.5794,mismatch
Unsynchronized,2,10000000,25,81.1677,mismatch
Unsynchronized,2,10000000,25,82.8702,mismatch
Unsynchronized,2,10000000,25,108.730,mismatch
Unsynchronized,2,10000000,25,68.5297,mismatch
Unsynchronized,2,10000000,25,68.4667,mismatch
Unsynchronized,2,10000000,25,64.1652,mismatch
Unsynchronized,2,10000000,25,61.4659,mismatch
Unsynchronized,2,10000000,25,127.089
Unsynchronized,2,10000000,25,69.6233,mismatch
Unsynchronized,4,1000,25,13509.4,mismatch
Unsynchronized,4,1000,25,14815.1
Unsynchronized,4,1000,25,11706.0,mismatch
Unsynchronized,4,1000,25,14527.7
Unsynchronized,4,1000,25,13893.7
Unsynchronized,4,1000,25,14110.1,mismatch
Unsynchronized,4,1000,25,13136.0,mismatch
Unsynchronized,4,1000,25,14651.0,mismatch
Unsynchronized,4,1000,25,14149.9
Unsynchronized,4,1000,25,13962.4,mismatch
Unsynchronized,4,100000,25,1070.55,mismatch
Unsynchronized,4,100000,25,1000.19,mismatch
Unsynchronized,4,100000,25,1043.21,mismatch
Unsynchronized,4,100000,25,1020.85,mismatch
Unsynchronized,4,100000,25,944.636,mismatch
Unsynchronized,4,100000,25,912.771,mismatch
Unsynchronized,4,100000,25,957.332,mismatch
Unsynchronized,4,100000,25,920.957,mismatch
Unsynchronized,4,100000,25,996.494,mismatch
Unsynchronized,4,100000,25,888.556,mismatch
Unsynchronized,4,10000000,25,156.711,mismatch
Unsynchronized,4,10000000,25,275.860,mismatch
Unsynchronized,4,10000000,25,227.138,mismatch
Unsynchronized,4,10000000,25,146.569,mismatch
Unsynchronized,4,10000000,25,257.159,mismatch
Unsynchronized,4,10000000,25,275.138,mismatch
Unsynchronized,4,10000000,25,155.639
Unsynchronized,4,10000000,25,147.882,mismatch
Unsynchronized,4,10000000,25,235.747,mismatch
Unsynchronized,4,10000000,25,274.796,mismatch
Unsynchronized,8,1000,25,32128.2,mismatch
Unsynchronized,8,1000,25,27967.9,mismatch
Unsynchronized,8,1000,25,27524.6,mismatch
Unsynchronized,8,1000,25,31737.9,mismatch
Unsynchronized,8,1000,25,32859.2,mismatch
Unsynchronized,8,1000,25,28529.3,mismatch
Unsynchronized,8,1000,25,27282.0,mismatch
Unsynchronized,8,1000,25,27837.9,mismatch
Unsynchronized,8,1000,25,26061.4,mismatch
Unsynchronized,8,1000,25,29872.1,mismatch
Unsynchronized,8,100000,25,2064.08,mismatch
Unsynchronized,8,100000,25,1719.66,mismatch
Unsynchronized,8,100000,25,1818.40,mismatch
Unsynchronized,8,100000,25,1573.10,mismatch
Unsynchronized,8,100000,25,1804.81,mismatch
Unsynchronized,8,100000,25,1975.13,mismatch
Unsynchronized,8,100000,25,1939.74,mismatch
Unsynchronized,8,100000,25,1689.13,mismatch
Unsynchronized,8,100000,25,1874.80,mismatch
Unsynchronized,8,100000,25,1791.14,mismatch
Unsynchronized,8,10000000,25,469.634,mismatch
Unsynchronized,8,10000000,25,359.845,mismatch
Unsynchronized,8,10000000,25,359.789,mismatch
Unsynchronized,8,10000000,25,349.029,mismatch
Unsynchronized,8,10000000,25,369.176,mismatch
Unsynchronized,8,10000000,25,343.657,mismatch
Unsynchronized,8,10000000,25,548.731,mismatch
Unsynchronized,8,10000000,25,359.623,mismatch
Unsynchronized,8,10000000,25,485.804,mismatch
Unsynchronized,8,10000000,25,361.184,mismatch
Unsynchronized,12,1000,25,48324.4,mismatch
Unsynchronized,12,1000,25,43539.8,mismatch
Unsynchronized,12,1000,25,45956.5,mismatch
Unsynchronized,12,1000,25,45893.1,mismatch
Unsynchronized,12,1000,25,46181.8,mismatch
Unsynchronized,12,1000,25,51071.0,mismatch
Unsynchronized,12,1000,25,38917.6,mismatch
Unsynchronized,12,1000,25,44992.4,mismatch
Unsynchronized,12,1000,25,40658.3,mismatch
Unsynchronized,12,1000,25,45900.8,mismatch
Unsynchronized,12,100000,25,2527.25,mismatch
Unsynchronized,12,100000,25,2494.10,mismatch
Unsynchronized,12,100000,25,2170.58,mismatch
Unsynchronized,12,100000,25,2616.30,mismatch
Unsynchronized,12,100000,25,2227.76,mismatch
Unsynchronized,12,100000,25,2731.41,mismatch
Unsynchronized,12,100000,25,2496.15,mismatch
Unsynchronized,12,100000,25,2479.93,mismatch
Unsynchronized,12,100000,25,2686.11,mismatch
Unsynchronized,12,100000,25,2443.06,mismatch
Unsynchronized,12,10000000,25,634.178,mismatch
Unsynchronized,12,10000000,25,612.584,mismatch
Unsynchronized,12,10000000,25,581.394,mismatch
Unsynchronized,12,10000000,25,646.177,mismatch
Unsynchronized,12,10000000,25,621.281,mismatch
