Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,25,7223.86,mismatch
Unsynchronized,2,1000,25,6453.76,mismatch
Unsynchronized,2,1000,25,6690.29,mismatch
Unsynchronized,2,1000,25,6795.58,mismatch
Unsynchronized,2,1000,25,6588.41
Unsynchronized,2,1000,25,6490.32,mismatch
Unsynchronized,2,1000,25,5760.99,mismatch
Unsynchronized,2,1000,25,6589.73,mismatch
Unsynchronized,2,1000,25,6951.03,mismatch
Unsynchronized,2,1000,25,6002.59
Unsynchronized,2,100000,25,665.351,mismatch
Unsynchronized,2,100000,25,715.996,mismatch
Unsynchronized,2,100000,25,442.755,mismatch
Unsynchronized,2,100000,25,756.909,mismatch
Unsynchronized,2,100000,25,724.450,mismatch
Unsynchronized,2,100000,25,684.055,mismatch
Unsynchronized,2,100000,25,685.681,mismatch
Unsynchronized,2,100000,25,701.167,mismatch
Unsynchronized,2,100000,25,745.545,mismatch
Unsynchronized,2,100000,25,795.654,mismatch
Unsynchronized,2,10000000,25,118.572,mismatch
Unsynchronized,2,10000000,25,63.3541,mismatch
Unsynchronized,2,10000000,25,64.6009,mismatch
Unsynchronized,2,10000000,25,80.4869,mismatch
Unsynchronized,2,10000000,25,67.8722,mismatch
Unsynchronized,2,10000000,25,65.4094,mismatch
Unsynchronized,2,10000000,25,66.9062,mismatch
Unsynchronized,2,10000000,25,64.0006,mismatch
Unsynchronized,2,10000000,25,69.1405,mismatch
Unsynchronized,2,10000000,25,70.3291,mismatch
Unsynchronized,4,1000,25,12223.4,mismatch
Unsynchronized,4,1000,25,13192.4,mismatch
Unsynchronized,4,1000,25,14063.4,mismatch
Unsynchronized,4,1000,25,15770.0,mismatch
Unsynchronized,4,1000,25,13857.4,mismatch
Unsynchronized,4,1000,25,12761.0,mismatch
Unsynchronized,4,1000,25,14687.3,mismatch
Unsynchronized,4,1000,25,11739.1,mismatch
Unsynchronized,4,1000,25,13560.0,mismatch
Unsynchronized,4,1000,25,12391.7
Unsynchronized,4,100000,25,908.805,mismatch
Unsynchronized,4,100000,25,956.252,mismatch
Unsynchronized,4,100000,25,868.231,mismatch
Unsynchronized,4,100000,25,820.286,mismatch
Unsynchronized,4,100000,25,1008.43,mismatch
Unsynchronized,4,100000,25,1055.08,mismatch
Unsynchronized,4,100000,25,913.942,mismatch
Unsynchronized,4,100000,25,972.093,mismatch
Unsynchronized,4,100000,25,973.949,mismatch
Unsynchronized,4,100000,25,1000.37,mismatch
Unsynchronized,4,10000000,25,231.200,mismatch
Unsynchronized,4,10000000,25,261.448,mismatch
Unsynchronized,4,10000000,25,253.885,mismatch
Unsynchronized,4,10000000,25,159.145,mismatch
Unsynchronized,4,10000000,25,157.095,mismatch
Unsynchronized,4,10000000,25,238.135,mismatch
Unsynchronized,4,10000000,25,156.186,mismatch
Unsynchronized,4,10000000,25,154.749,mismatch
Unsynchronized,4,10000000,25,258.165,mismatch
Unsynchronized,4,10000000,25,268.357,mismatch
Unsynchronized,8,1000,25,27927.0,mismatch
Unsynchronized,8,1000,25,29871.2,mismatch
Unsynchronized,8,1000,25,27668.2,mismatch
Unsynchronized,8,1000,25,25198.9,mismatch
Unsynchronized,8,1000,25,30146.2,mismatch
Unsynchronized,8,1000,25,24035.5,mismatch
Unsynchronized,8,1000,25,24897.8,mismatch
Unsynchronized,8,1000,25,25973.4,mismatch
Unsynchronized,8,1000,25,29610.9,mismatch
Unsynchronized,8,1000,25,25978.4,mismatch
Unsynchronized,8,100000,25,1829.63,mismatch
Unsynchronized,8,100000,25,1620.60,mismatch
Unsynchronized,8,100000,25,1436.71,mismatch
Unsynchronized,8,100000,25,1659.48,mismatch
Unsynchronized,8,100000,25,1811.43,mismatch
Unsynchronized,8,100000,25,1733.15,mismatch
Unsynchronized,8,100000,25,1634.00,mismatch
Unsynchronized,8,100000,25,1937.75,mismatch
Unsynchronized,8,100000,25,1639.12,mismatch
Unsynchronized,8,100000,25,1941.33,mismatch
Unsynchronized,8,10000000,25,346.636,mismatch
Unsynchronized,8,10000000,25,338.506,mismatch
Unsynchronized,8,10000000,25,482.756,mismatch
Unsynchronized,8,10000000,25,343.254,mismatch
Unsynchronized,8,10000000,25,534.025,mismatch
Unsynchronized,8,10000000,25,361.423,mismatch
Unsynchronized,8,10000000,25,359.178,mismatch
Unsynchronized,8,10000000,25,359.504,mismatch
Unsynchronized,8,10000000,25,534.692,mismatch
Unsynchronized,8,10000000,25,464.500,mismatch
Unsynchronized,12,1000,25,41560.5,mismatch
Unsynchronized,12,1000,25,38317.5,mismatch
Unsynchronized,12,1000,25,48266.4,mismatch
Unsynchronized,12,1000,25,46290.3,mismatch
Unsynchronized,12,1000,25,44931.5,mismatch
Unsynchronized,12,1000,25,45876.5,mismatch
Unsynchronized,12,1000,25,45548.4,mismatch
Unsynchronized,12,1000,25,39476.2,mismatch
Unsynchronized,12,1000,25,41631.6,mismatch
Unsynchronized,12,1000,25,41680.5,mismatch
Unsynchronized,12,100000,25,2218.38,mismatch
Unsynchronized,12,100000,25,2520.60,mismatch
Unsynchronized,12,100000,25,2395.88,mismatch
Unsynchronized,12,100000,25,2287.09,mismatch
Unsynchronized,12,100000,25,2546.17,mismatch
Unsynchronized,12,100000,25,2616.58,mismatch
Unsynchronized,12,100000,25,2521.31,mismatch
Unsynchronized,12,100000,25,2224.15,mismatch
Unsynchronized,12,100000,25,2847.23,mismatch
Unsynchronized,12,100000,25,2620.17,mismatch
